rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
16,aluminum,industry,Aluminum,Basic Materials,4 cons,4,1.0,0,-17.5,15.9,33.6,130.1,-14.9,2.6,27.1,110.3,27.99,33.43
17,conglomerates,industry,Conglomerates,Industrials,20 cons,20,1.0,0,17.3,30.7,37.1,65.4,19.9,17.4,30.5,45.6,27.47,1.85
18,publishing,industry,Publishing,Communication Services,6 cons,6,1.0,1,3.1,9.4,49.1,92.4,5.7,-3.9,42.6,72.6,27.27,36.82
19,biotechnology,industry,Biotechnology,Healthcare,50 cons,50,1.0,9,13.1,23.7,30.9,83.2,15.7,10.4,24.4,63.3,26.24,35.66
20,textile-manufacturing,industry,Textile Manufacturing,Consumer Cyclical,2 cons,2,1.0,0,19.7,50.8,46.1,11.9,22.3,37.5,39.6,-8.0,25.98,29.29
21,steel,industry,Steel,Basic Materials,10 cons,10,1.0,2,0.9,39.7,31.8,67.3,3.5,26.4,25.2,47.5,25.67,22.84
22,airlines,industry,Airlines,Industrials,12 cons,12,1.0,0,17.0,41.7,22.5,60.0,19.7,28.4,15.9,40.1,25.24,24.92
23,department-stores,industry,Department Stores,Consumer Cyclical,4 cons,4,1.0,0,16.2,22.2,-1.9,99.1,18.8,8.9,-8.4,79.3,19.76,19.33
24,metal-fabrication,industry,Metal Fabrication,Industrials,15 cons,15,1.0,0,8.7,23.8,25.0,58.1,11.3,10.5,18.5,38.2,18.61,7.82
25,rental-leasing-services,industry,Rental & Leasing Services,Industrials,16 cons,16,1.0,0,8.4,31.5,28.6,34.9,11.0,18.2,22.1,15.0,17.28,22.9
26,food-distribution,industry,Food Distribution,Consumer Defensive,11 cons,11,1.0,0,9.2,15.6,30.0,52.1,11.8,2.3,23.5,32.3,16.56,10.32
